CTRL #,REGION,CITY,BARANGAY,SEX,MARITAL STATUS,AGE,AGE BRACKET,FAMILY INCOME,CLASS,EMPLOYMENT STATUS,HIGHEST EDUCATIONAL ATTAINMENT,2.1-1,2.1-2,2.1-3,2.2-1,2.2-2,2.2-3,2.3-1,2.3-2,2.3-3,2.4-1,2.4-2,2.4-3,2.5-1,2.5-2,2.5-3,2.5-4,2.5-5,2.6-1,2.6-2,2.6-3,2.7-1,2.7-2,2.8,2.9-1,2.9-2,2.10-1,2.10-2,2.10-3,3.1-1,3.1-2,3.2.1-1,3.2.1-2,3.2.1-3,3.2.2-1,3.2.2-2,3.2.3-1,3.2.3-2,3.2.4-1,3.2.4-2,3.2.5-1,3.2.5-2,3.2.6-1,3.2.6-2,3.2.7-1,3.2.7-2,3.3,I 4.1.a-1,I 4.1.a-2,I 4.1.b-1,I 4.1.b-2,I 4.1.c-1,I 4.1.c-2,I 4.1.d-1,I 4.1.d-2,I 4.1.e-1,I 4.1.e-2,I 4.2.a-1,I 4.2.a-2,I 4.2.b-1,I 4.2.b-2,I 4.2.c-1,I 4.2.c-2,I 4.2.d-1,I 4.2.d-2,I 4.2.e-1,I 4.2.e-2,I 4.3.a-1,I 4.3.a-2,I 4.3.b-1,I 4.3.b-2,I 4.3.c-1,I 4.3.c-2,I 4.3.d-1,I 4.3.d-2,I 4.3.e-1,I 4.3.e-2,I 4.4.a-1,I 4.4.a-2,I 4.4.b-1,I 4.4.b-2,I 4.4.c-1,I 4.4.c-2,I 4.4.d-1,I 4.4.d-2,I 4.4.e-1,I 4.4.e-2,I 4.5.a-1,I 4.5.a-2,I 4.5.b-1,I 4.5.b-2,I 4.5.c-1,I 4.5.c-2,I 4.5.d-1,I 4.5.d-2,I 4.5.e-1,I 4.5.e-2,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,II 4.1.1,II 4.1.2,II 4.1.a,II 4.1.b,II 4.1.c,II 4.1.d,II 4.1.e,II 4.1.f,II 4.1.g,II 4.1.h,II 4.2.1,II 4.2.2,II 4.2.a,II 4.2.b,II 4.2.c,II 4.3.1,II 4.3.2,II 4.3.a,II 4.3.b,II 4.3.c,II 4.4.1,II 4.4.2,II 4.4.a,II 4.4.b,II 4.5.1,II 4.5.2,II 4.5.a,II 4.5.b,II 4.5.c,II 4.6.1,II 4.6.2,II 4.6.a,II 4.6.b,II 4.7.1,II 4.7.2,II 4.7.a,II 4.7.b,II 4.7.c,II 4.8.1,II 4.8.2,II 4.8.a,II 4.8.b,II 4.8.c,II 4.8.d,II 4.8.e,II 4.8.f,II 4.9.1,II 4.9.2,II 4.9.a,II 4.9.b,II 4.9.c,II 4.9.d,II 4.10.1,II 4.10.2,II 4.10.a,II 4.10.b,II 4.10.c,II 4.11.1,II 4.11.2,II 4.11.a,II 4.11.b,II 4.11.c,II 4.11.d,II 4.11.f,II 4.12.1,II 4.12.2,II 4.12.a,II 4.12.b,II 4.12.c,II 4.13.1,II 4.13.2,II 4.13.a,II 4.13.b,II 4.13.c,II 4.13.d,II 4.13.e,II 4.14.1,II 4.14.2,II 4.14.a,II 4.14.b,II 4.15.1,II 4.15.2,II 4.15.a,II 4.15.b,II 4.15.c,II 4.15.d,II 4.15.e,II 4.16.1,II 4.16.2,II 4.16.a,II 4.16.b,II 4.16.c,II 4.16.d,II 4.17.1,II 4.17.2,II 4.17.a,II 4.17.b,II 4.17.c,II 4.18.1,II 4.18.2,II 4.18.a,II 4.18.b,II 4.19.1,II 4.19.2,II 4.19.a,II 4.19.b,II 4.19.c,II 4.19.d,II 4.19.e,II 4.20.1,II 4.20.2,II 4.20.a,II 4.20.b,II 4.21.1,II 4.21.2,II 4.21.a,II 4.21.b,II 4.21.c,II 4.21.d,II 4.21.e,II 4.22.1,II 4.22.2,II 4.22.a,II 4.22.b,II 4.22.c,II 4.23.1,II 4.23.2,II 4.23.a,II 4.23.b,II 4.23.c,II 4.23.d,II 4.24.1,II 4.24.2,II 4.24.a,II 4.24.b,II 4.25.1,II 4.25.2,II 4.25.a,II 4.26.1,II 4.26.2,II 4.26.a,II 4.26.b,II 4.26.c,II 4.26.d,II 4.26.e,II 4.26.f,II 4.26.g,II 4.26.h,II 4.26.i
834,NCR – National Capital Region,Caloocan City,,Male,Married,59,,50000,Middle,Retired (Not Working) / Too Old to Work,College Graduate,1,Linggo,,0,Linggo,,1,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,0,Linggo,St. Gabriel the Archangel Parish,St. Gabriel the Archangel Parish,St. Gabriel the Archangel Parish,FALSE,,3,Buwan,Physical,1,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,St. Gabriel the Archangel Parish,5,2,5,5,1,1,3,3,2,1,5,1,4,5,5,1,5,3,5,2,5,5,4,3,1,1,5,4,5,4,4,3,4,4,3,1,3,2,4,3,3,2,1,1,4,3,5,5,3,3,5,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,4,2,4,3,4,3,5,4,5,5,5,4,5,5,5,5,TRUE,2,5,4,4,5,5,5,5,4,TRUE,1,0,0,0,FALSE,0,0,0,0,TRUE,1,0,0,TRUE,1,0,0,0,TRUE,1,0,0,TRUE,1,0,0,0,TRUE,1,4,2,3,5,5,3,TRUE,2,3,3,5,5,TRUE,1,0,0,0,TRUE,1,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,1,5,5,TRUE,1,0,0,0,0,0,TRUE,1,0,0,0,0,FALSE,0,0,0,0,TRUE,1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,1,0,0,0,0,0,TRUE,1,0,0,0,TRUE,1,0,0,0,0,TRUE,1,0,0,FALSE,0,0,TRUE,1,0,0,0,0,0,0,0,0,0
844,NCR – National Capital Region,Caloocan City,,Female,Single,29,,15000,Low-income but not poor,Working At Least 40 Hours/Week,Elementary Undergraduate,3,Buwan,0,0,Linggo,,0,Linggo,,0,Linggo,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Nazareno,TRUE,1,Linggo,St. Gabriel the Archangel Parish,St. Gabriel the Archangel Parish,SAINT GABRIEL THE ARCHANGEL Parish,FALSE,0,3,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,1,Taon,1,Buwan,SAINT GABRIEL THE ARCHANGEL Parish,5,3,3,5,2,5,1,3,5,1,5,1,4,5,2,3,4,1,1,5,5,5,3,3,1,1,5,4,3,4,5,4,5,5,2,5,2,1,2,3,4,3,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,3,3,4,4,5,5,4,4,3,3,3,3,1,1,5,5,3,4,5,5,2,2,5,5,5,5,TRUE,3,5,5,5,4,5,5,5,5,FALSE,0,0,0,0,TRUE,1,0,0,0,FALSE,0,0,0,TRUE,2,0,0,0,TRUE,1,0,0,TRUE,1,0,0,0,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,TRUE,1,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,2,5,5,5,5,5,TRUE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,2,4,5,TRUE,1,0,FALSE,0,0,0,0,0,0,0,0,0,0
37,NCR – National Capital Region,Caloocan City,,Female,Single,29,,8000,Poor,Looking For Work But Not Not Employed; Have worked in the past,College Undergraduate,2,Buwan,birthday,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Jesus, Mary, Sto. Niño",TRUE,1,Buwan,Quiapo,Quiapo,Quiapo,FALSE,,2,Buwan,Physical,0,Linggo,0,Linggo,1,Taon,0,Linggo,0,Linggo,0,Linggo,Quiapo,4,3,2,2,1,1,5,4,3,5,5,4,2,5,1,2,3,1,4,3,2,1,3,2,1,5,4,4,5,1,4,5,3,2,1,1,2,3,5,4,3,5,4,3,2,1,5,4,1,3,5,4,5,4,5,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,2,3,3,2,3,2,3,5,5,5,5,5,5,5,5,TRUE,2,5,5,5,5,5,5,5,5,TRUE,1,0,0,0,TRUE,3,5,5,5,TRUE,1,0,0,TRUE,3,5,5,5,TRUE,1,0,0,TRUE,1,0,0,0,TRUE,3,5,4,3,5,4,3,TRUE,1,0,0,0,0,TRUE,1,0,0,0,TRUE,3,3,5,5,3,3,TRUE,1,0,0,0,TRUE,1,0,0,0,0,0,TRUE,2,5,5,TRUE,1,0,0,0,0,0,TRUE,1,0,0,0,0,TRUE,1,0,0,0,TRUE,2,5,5,FALSE,0,0,0,0,0,0,TRUE,1,0,0,TRUE,2,2,2,2,4,5,TRUE,1,1,1,0,TRUE,2,3,4,5,4,TRUE,2,3,5,TRUE,1,0,TRUE,1,0,0,0,0,0,0,0,0,0
98,NCR – National Capital Region,Caloocan City,,Female,Married,36,,2500,Poor,Looking For Work But Not Not Employed; Have worked in the past,HightSchool Graduate,1,Linggo,birthday,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Mary, Nazareno, Sto. Niño",TRUE,1,Linggo,San Jose Parish - Agudo,,San jose Parish agudo,FALSE,,1,Buwan,Physical,0,Linggo,0,Linggo,1,Linggo,0,Linggo,0,Linggo,0,Linggo,San jose Parish agudo,5,4,4,5,3,2,2,3,1,1,5,5,3,3,4,4,1,1,2,2,5,5,1,1,3,3,2,2,4,4,3,1,4,2,5,3,2,4,1,5,2,5,3,4,1,3,5,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,TRUE,2,5,5,5,4,5,5,5,5,FALSE,0,0,0,0,TRUE,3,5,4,3,TRUE,2,5,5,FALSE,0,0,0,0,FALSE,0,0,0,TRUE,3,4,4,5,TRUE,3,5,5,5,5,4,5,TRUE,3,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,3,4,4,4,4,5,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,3,5,5,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,TRUE,3,5,5,TRUE,2,5,TRUE,3,5,5,5,5,5,5,5,5,5
99,NCR – National Capital Region,Caloocan City,,Male,Married,75,,0,Poor,"No Job, Not Looking for Work",Elementary Undergraduate,0,Linggo,,1,Linggo,Sunay Obligation Mass,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Mary,FALSE,0,Linggo,,,,FALSE,,0,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,San Jose Parish-Agudo,5,5,2,2,4,4,3,3,1,1,4,4,5,5,3,3,1,1,2,2,5,5,4,4,1,1,3,3,2,2,2,2,5,5,1,1,3,3,2,2,5,5,4,4,1,1,3,3,2,2,3,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,1,4,4,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,TRUE,1,0,0,0,0,0,0,0,0,TRUE,1,0,0,0,TRUE,2,5,5,0,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,3,4,4,TRUE,1,0,0,0,TRUE,2,5,4,5,5,5,4,TRUE,1,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,2,5,5,5,4,5,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,3,5,3,3,4,5,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,TRUE,2,5,TRUE,1,0,0,0,0,0,0,0,0,0
107,NCR – National Capital Region,Caloocan City,,Male,Single,180,,1800,Poor,"No Job, Not Looking for Work",College Undergraduate,0,Linggo,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Christ the King,FALSE,0,Linggo,,,San jose Parish,FALSE,,2,Taon,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,1,Taon,0,Linggo,San jose agudo,2,2,3,3,1,1,4,4,5,5,4,4,3,3,1,1,5,5,2,2,3,3,2,2,1,1,4,4,5,5,5,5,4,4,2,2,1,1,3,3,3,3,1,1,2,2,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,4,4,2,2,1,1,1,1,3,3,5,5,4,4,5,5,5,5,FALSE,0,0,0,0,0,0,0,0,0,TRUE,2,4,4,4,TRUE,2,4,4,5,FALSE,0,0,0,TRUE,2,5,4,4,TRUE,1,3,3,TRUE,2,3,3,4,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,2,4,5,5,FALSE,0,0,0,0,0,0,TRUE,2,4,5,TRUE,2,5,5,5,5,5,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,2,4,4,4,5,4,TRUE,1,3,3,3,TRUE,1,3,3,3,3,TRUE,2,3,3,TRUE,2,3,TRUE,1,4,5,5,4,1,3,2,3,2
92,NCR – National Capital Region,Caloocan City,,Male,Married,41,,20000,Low-income but not poor,Looking For Work But Not Not Employed; Have not worked in the past,College Graduate,2,Buwan,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Nazareno, Sto. Niño",TRUE,1,Linggo,Quiapo,,San jose Parish agudo,FALSE,,1,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,San jose Parish agudo,1,3,4,4,2,5,5,1,3,2,3,2,2,5,4,1,1,3,5,4,5,3,1,1,2,4,4,5,3,2,1,3,5,5,4,1,2,2,3,4,2,4,5,2,3,3,4,5,1,1,5,5,5,4,5,5,5,5,4,4,3,5,5,5,5,5,5,5,4,5,3,4,5,5,5,4,2,5,3,5,1,5,2,5,3,4,5,5,5,5,5,5,5,5,TRUE,3,5,4,5,5,5,5,5,5,FALSE,0,0,0,0,TRUE,3,5,5,5,FALSE,0,0,0,TRUE,3,5,5,5,TRUE,2,5,5,TRUE,3,5,5,5,TRUE,2,5,4,5,5,5,5,TRUE,2,5,5,5,5,TRUE,2,3,5,5,TRUE,2,4,5,5,5,5,TRUE,2,4,5,5,TRUE,2,4,4,5,5,5,TRUE,2,5,5,TRUE,3,5,5,5,5,5,TRUE,2,5,5,5,5,TRUE,2,5,5,4,TRUE,3,5,5,TRUE,2,0,0,0,0,0,TRUE,1,0,0,TRUE,3,5,4,4,4,4,TRUE,3,4,5,4,TRUE,2,0,0,0,0,TRUE,2,4,5,TRUE,3,4,TRUE,3,5,5,2,4,3,1,3,4,2
100,NCR – National Capital Region,Caloocan City,,Female,Married,53,,20000,Low-income but not poor,Retired (Not Working) / Too Old to Work,Vocational/TVET,1,Linggo,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Sto. Niño, Our Lady of Manaoag, Sleeping St. Joseph, Sacred Heart of Jesus",TRUE,1,Linggo,San Jose Parish - Agudo,Quiapo,San Jose Parish Agudo,TRUE,Kawan ni San Agustin,4,Buwan,Physical,0,Linggo,1,Taon,1,Taon,0,Linggo,1,Taon,1,Linggo,San Jose Parish Agudo,3,3,5,5,1,1,2,4,4,2,3,1,5,5,4,4,2,3,1,2,5,5,4,4,1,1,2,3,3,2,3,4,4,5,1,3,2,1,5,2,3,3,2,4,5,2,4,5,5,5,4,5,4,4,3,4,2,5,5,5,3,4,5,5,5,5,5,5,2,2,3,4,5,5,5,5,2,2,1,1,2,2,1,1,2,2,4,4,3,3,3,3,5,5,TRUE,3,5,5,5,4,5,5,5,5,TRUE,3,5,4,5,TRUE,3,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,2,5,4,4,5,5,3,TRUE,2,3,5,4,3,TRUE,3,4,5,5,TRUE,3,5,5,5,5,4,TRUE,3,5,4,5,TRUE,2,4,4,4,1,4,TRUE,2,5,5,TRUE,2,5,5,1,5,4,TRUE,3,1,4,4,3,TRUE,2,3,1,3,TRUE,3,5,4,TRUE,2,5,5,5,4,5,TRUE,2,4,5,TRUE,3,5,5,1,5,5,TRUE,3,5,4,5,TRUE,3,5,5,4,4,TRUE,3,5,5,TRUE,3,5,TRUE,3,5,5,5,5,4,5,5,5,4
108,NCR – National Capital Region,Caloocan City,,Female,Married,570,,10000,Poor,"No Job, Not Looking for Work",HightSchool Graduate,1,Linggo,sunday obligation mass,5,Linggo,daily mass,2,Linggo,daily mass,3,Linggo,daily mass,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Sto. Niño, Crucifix, Sacred Heart of Jesus",TRUE,2,Linggo,San Jose Parish - Agudo,Quiapo,San jose agudo,TRUE,apostolado ng panalangin,3,Buwan,Physical,1,Linggo,4,Taon,0,Linggo,4,Linggo,1,Taon,0,Linggo,San jose Parish agudo,4,3,1,4,2,5,3,1,5,2,1,2,2,3,3,4,4,5,5,1,3,5,2,4,1,2,4,3,5,1,1,2,2,1,3,3,4,4,5,5,1,1,2,2,3,3,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,3,5,5,5,5,4,4,3,5,2,4,1,4,2,3,5,5,5,5,5,5,5,5,TRUE,3,4,5,5,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,TRUE,2,5,5,TRUE,2,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,5,TRUE,3,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,TRUE,3,5,5,4,4,5,TRUE,3,5,5,5,5,TRUE,2,5,5,5,TRUE,3,5,5,TRUE,2,4,5,5,5,5,TRUE,2,4,5,TRUE,2,5,5,4,5,5,TRUE,2,4,4,4,TRUE,2,5,5,4,4,TRUE,2,4,4,TRUE,3,4,TRUE,2,5,5,5,5,5,5,5,5,5
101,NCR – National Capital Region,Caloocan City,,Female,Married,42,,6000,Poor,Working At Least 40 Hours/Week,HighSchool Undergraduate,1,Linggo,,1,Linggo,,0,Linggo,,0,Linggo,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Sto. Niño,TRUE,1,Linggo,San Jose Parish - Agudo,Quiapo,Quiapo,FALSE,,4,Buwan,Physical,2,Linggo,0,Linggo,0,Linggo,0,Linggo,1,Linggo,0,Linggo,San Jose Parish Agudo,3,3,2,4,5,2,4,5,1,1,4,5,3,4,5,2,2,3,1,1,5,5,2,4,4,3,3,2,1,1,2,2,5,5,4,4,1,1,3,3,4,4,1,1,3,3,2,2,5,5,5,5,2,2,4,4,5,5,5,5,4,4,5,5,4,4,2,2,1,1,5,5,5,5,3,3,4,4,5,5,1,1,4,4,2,2,4,4,4,4,2,2,5,5,TRUE,3,5,5,5,5,4,4,4,5,TRUE,3,4,4,5,TRUE,3,4,5,4,TRUE,3,4,5,TRUE,2,4,5,4,TRUE,3,4,4,TRUE,3,4,5,4,TRUE,3,4,4,5,4,5,4,TRUE,3,4,5,4,5,TRUE,3,4,5,4,TRUE,3,5,4,5,0,4,TRUE,3,5,4,5,FALSE,0,0,0,0,0,0,TRUE,3,5,4,TRUE,3,4,5,5,4,5,TRUE,3,4,5,4,5,TRUE,3,5,4,3,TRUE,3,5,4,TRUE,3,4,5,5,4,5,TRUE,3,4,5,TRUE,3,5,5,4,5,4,TRUE,3,5,5,4,TRUE,3,5,4,5,4,TRUE,3,5,5,TRUE,3,5,TRUE,3,5,4,5,4,5,4,5,4,5
